t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,301.98,16.0,0,0.37,18.87,0,SAFE,0
0.5,285.99,16.0,0,0.371,17.87,0,SAFE,0
1.0,270.01,16.0,0,0.371,16.88,0,SAFE,0
1.5,254.03,16.0,0,0.372,15.88,0,SAFE,0
2.0,238.05,16.0,0,0.394,14.88,0,SAFE,0
2.5,222.07,16.0,1.69,0.423,13.88,7.99,WARNING,0
3.0,206.08,16.0,1.69,0.452,12.88,7.99,WARNING,0
3.5,190.1,16.0,1.69,0.481,11.88,8.0,WARNING,0
4.0,174.12,16.0,1.69,0.51,10.88,7.99,WARNING,0
4.5,158.14,16.0,143.94,0.54,9.88,21.0,WARNING,0
5.0,142.16,16.0,127.94,0.57,8.88,20.95,WARNING,0
5.5,126.17,16.0,112.02,0.6,7.89,20.35,WARNING,0
6.0,110.19,16.0,96.14,0.631,6.89,19.98,DANGER,0
6.5,94.21,16.0,80.11,0.663,5.89,19.86,DANGER,0
7.0,78.23,16.0,64.42,0.696,4.89,19.62,DANGER,0
7.5,62.25,16.0,48.95,0.731,3.89,19.55,DANGER,0
8.0,46.26,16.0,34.11,0.77,2.89,19.48,DANGER,1
8.5,30.28,16.0,19.34,0.816,1.89,19.2,DANGER,1
9.0,14.3,16.0,7.16,0.88,0.89,18.64,DANGER,1
9.5,1.68,0.0,13.71,0.39,,18.37,SAFE,0
10.0,17.66,0.0,28.61,0.39,,18.37,SAFE,0
10.5,33.65,0.0,44.48,0.39,,18.3,SAFE,0
11.0,49.63,0.0,59.7,0.39,,17.62,SAFE,0
11.5,65.61,0.0,75.4,0.39,,17.73,SAFE,0
12.0,81.59,0.0,91.27,0.39,,17.7,SAFE,0
12.5,97.57,0.0,107.07,0.39,,17.63,SAFE,0
13.0,113.56,0.0,0,0.39,,0,SAFE,0
13.5,129.54,0.0,0,0.39,,0,SAFE,0
14.0,145.52,0.0,0,0.39,,0,SAFE,0
14.5,161.5,0.0,0,0.39,,0,SAFE,0
15.0,177.48,0.0,0,0.374,,0,SAFE,0
15.5,193.47,0.0,0,0.336,,0,SAFE,0
16.0,209.45,0.0,0,0.297,,0,SAFE,0
16.5,225.43,0.0,0,0.259,,0,SAFE,0
17.0,241.41,0.0,0,0.221,,0,SAFE,0
17.5,257.39,0.0,0,0.2,,0,SAFE,0
18.0,273.38,0.0,0,0.2,,0,SAFE,0
18.5,289.36,0.0,0,0.2,,0,SAFE,0
19.0,305.34,0.0,0,0.2,,0,SAFE,0
19.5,321.32,0.0,0,0.2,,0,SAFE,0
20.0,337.31,0.0,0,0.2,,0,SAFE,0
20.5,353.29,0.0,0,0.2,,0,SAFE,0
21.0,369.27,0.0,0,0.2,,0,SAFE,0
21.5,385.25,0.0,0,0.2,,0,SAFE,0
22.0,401.23,0.0,0,0.2,,0,SAFE,0
22.5,417.22,0.0,0,0.2,,0,SAFE,0
23.0,433.2,0.0,0,0.2,,0,SAFE,0
23.5,449.18,0.0,0,0.2,,0,SAFE,0
24.0,465.16,0.0,0,0.2,,0,SAFE,0
24.5,481.14,0.0,0,0.2,,0,SAFE,0
25.0,497.13,0.0,0,0.2,,0,SAFE,0
25.5,513.11,0.0,0,0.2,,0,SAFE,0
26.0,529.09,0.0,0,0.2,,0,SAFE,0
26.5,545.07,0.0,0,0.2,,0,SAFE,0
27.0,561.05,0.0,0,0.2,,0,SAFE,0
27.5,577.04,0.0,0,0.2,,0,SAFE,0
28.0,593.02,0.0,0,0.2,,0,SAFE,0
28.5,609.0,0.0,0,0.2,,0,SAFE,0
29.0,624.98,0.0,0,0.2,,0,SAFE,0
29.5,640.96,0.0,0,0.2,,0,SAFE,0
